transaction_id,date_time,risk_score,rules_triggered,ai_reasoning,data_used,action_taken,investigator_decision,final_outcome
TXN_195109,2026-09-18 12:10:39 UTC,0.0462,Weekend transaction,Model finds this transaction low risk due to weekend timing (score 0.046),"{""source"": ""transactions_a.csv"", ""channel"": ""POS"", ""tx_type"": ""withdrawal"", ""currency"": ""USD"", ""amount"": 9.11, ""amount_in_usd"": 9.11}",No action (low risk cleared),Pending review,Awaiting investigator
TXN_526723,2026-09-18 12:10:39 UTC,0.0216,No high-risk rules triggered,Model finds this transaction low risk with no strong anomaly indicators (score 0.022),"{""source"": ""transactions_a.csv"", ""channel"": ""POS"", ""tx_type"": ""purchase"", ""currency"": ""USD"", ""amount"": 15.52, ""amount_in_usd"": 15.52}",No action (low risk cleared),Pending review,Awaiting investigator
TXN_617694,2026-09-18 12:10:39 UTC,0.0857,"Unusual hour (night, outside 06:00-22:00)",Model finds this transaction low risk due to occurred at night (score 0.086),"{""source"": ""transactions_a.csv"", ""channel"": ""Online"", ""tx_type"": ""transfer"", ""currency"": ""USD"", ""amount"": 10.88, ""amount_in_usd"": 10.88}",No action (low risk cleared),Pending review,Awaiting investigator
TXN_144873,2026-09-18 12:10:39 UTC,0.0380,No high-risk rules triggered,Model finds this transaction low risk with no strong anomaly indicators (score 0.038),"{""source"": ""transactions_a.csv"", ""channel"": ""POS"", ""tx_type"": ""transfer"", ""currency"": ""USD"", ""amount"": 76.33, ""amount_in_usd"": 76.33}",No action (low risk cleared),Pending review,Awaiting investigator
TXN_626781,2026-09-18 12:10:39 UTC,0.0440,No high-risk rules triggered,Model finds this transaction low risk with no strong anomaly indicators (score 0.044),"{""source"": ""transactions_a.csv"", ""channel"": ""ATM"", ""tx_type"": ""purchase"", ""currency"": ""USD"", ""amount"": 11.41, ""amount_in_usd"": 11.41}",No action (low risk cleared),Pending review,Awaiting investigator
TXN_849687,2026-09-18 12:10:39 UTC,0.0483,No high-risk rules triggered,Model finds this transaction low risk with no strong anomaly indicators (score 0.048),"{""source"": ""transactions_a.csv"", ""channel"": ""Branch"", ""tx_type"": ""payment"", ""currency"": ""USD"", ""amount"": 9.43, ""amount_in_usd"": 9.43}",No action (low risk cleared),Pending review,Awaiting investigator
TXN_349607,2026-09-18 12:10:39 UTC,0.0316,No high-risk rules triggered,Model finds this transaction low risk with no strong anomaly indicators (score 0.032),"{""source"": ""transactions_a.csv"", ""channel"": ""Online"", ""tx_type"": ""transfer"", ""currency"": ""USD"", ""amount"": 32.07, ""amount_in_usd"": 32.07}",No action (low risk cleared),Pending review,Awaiting investigator
TXN_996027,2026-09-18 12:10:39 UTC,0.0569,No high-risk rules triggered,Model finds this transaction low risk with no strong anomaly indicators (score 0.057),"{""source"": ""transactions_a.csv"", ""channel"": ""POS"", ""tx_type"": ""withdrawal"", ""currency"": ""USD"", ""amount"": 154.26, ""amount_in_usd"": 154.26}",No action (low risk cleared),Pending review,Awaiting investigator
TXN_311005,2026-09-18 12:10:39 UTC,0.0233,Weekend transaction,Model finds this transaction low risk due to weekend timing (score 0.023),"{""source"": ""transactions_a.csv"", ""channel"": ""Branch"", ""tx_type"": ""purchase"", ""currency"": ""USD"", ""amount"": 19.14, ""amount_in_usd"": 19.14}",No action (low risk cleared),Pending review,Awaiting investigator
TXN_979518,2026-09-18 12:10:39 UTC,0.0391,No high-risk rules triggered,Model finds this transaction low risk with no strong anomaly indicators (score 0.039),"{""source"": ""transactions_a.csv"", ""channel"": ""Online"", ""tx_type"": ""purchase"", ""currency"": ""USD"", ""amount"": 50.43, ""amount_in_usd"": 50.43}",No action (low risk cleared),Pending review,Awaiting investigator
TXN_915833,2026-09-18 12:10:39 UTC,0.0611,No high-risk rules triggered,Model finds this transaction low risk with no strong anomaly indicators (score 0.061),"{""source"": ""transactions_a.csv"", ""channel"": ""Branch"", ""tx_type"": ""withdrawal"", ""currency"": ""USD"", ""amount"": 94.84, ""amount_in_usd"": 94.84}",No action (low risk cleared),Pending review,Awaiting investigator
TXN_263348,2026-09-18 12:10:39 UTC,0.0469,Weekend transaction,Model finds this transaction low risk due to weekend timing (score 0.047),"{""source"": ""transactions_a.csv"", ""channel"": ""Online"", ""tx_type"": ""withdrawal"", ""currency"": ""USD"", ""amount"": 13.77, ""amount_in_usd"": 13.77}",No action (low risk cleared),Pending review,Awaiting investigator
TXN_428172,2026-09-18 12:10:39 UTC,0.0591,Weekend transaction,Model finds this transaction low risk due to weekend timing (score 0.059),"{""source"": ""transactions_a.csv"", ""channel"": ""POS"", ""tx_type"": ""purchase"", ""currency"": ""USD"", ""amount"": 8.13, ""amount_in_usd"": 8.13}",No action (low risk cleared),Pending review,Awaiting investigator
TXN_126273,2026-09-18 12:10:39 UTC,0.0829,No high-risk rules triggered,Model finds this transaction low risk with no strong anomaly indicators (score 0.083),"{""source"": ""transactions_a.csv"", ""channel"": ""POS"", ""tx_type"": ""purchase"", ""currency"": ""USD"", ""amount"": 8.95, ""amount_in_usd"": 8.95}",No action (low risk cleared),Pending review,Awaiting investigator
TXN_689491,2026-09-18 12:10:39 UTC,0.0268,No high-risk rules triggered,Model finds this transaction low risk with no strong anomaly indicators (score 0.027),"{""source"": ""transactions_a.csv"", ""channel"": ""ATM"", ""tx_type"": ""purchase"", ""currency"": ""USD"", ""amount"": 30.66, ""amount_in_usd"": 30.66}",No action (low risk cleared),Pending review,Awaiting investigator
TXN_798851,2026-09-18 12:10:39 UTC,0.1257,No high-risk rules triggered,Model finds this transaction low risk with no strong anomaly indicators (score 0.126),"{""source"": ""transactions_a.csv"", ""channel"": ""ATM"", ""tx_type"": ""payment"", ""currency"": ""USD"", ""amount"": 123.94, ""amount_in_usd"": 123.94}",No action (low risk cleared),Pending review,Awaiting investigator
TXN_787022,2026-09-18 12:10:39 UTC,0.0282,No high-risk rules triggered,Model finds this transaction low risk with no strong anomaly indicators (score 0.028),"{""source"": ""transactions_a.csv"", ""channel"": ""POS"", ""tx_type"": ""purchase"", ""currency"": ""USD"", ""amount"": 26.65, ""amount_in_usd"": 26.65}",No action (low risk cleared),Pending review,Awaiting investigator
TXN_352887,2026-09-18 12:10:39 UTC,0.0314,Weekend transaction,Model finds this transaction low risk due to weekend timing (score 0.031),"{""source"": ""transactions_a.csv"", ""channel"": ""Branch"", ""tx_type"": ""payment"", ""currency"": ""USD"", ""amount"": 70.77, ""amount_in_usd"": 70.77}",No action (low risk cleared),Pending review,Awaiting investigator
TXN_316575,2026-09-18 12:10:39 UTC,0.0402,No high-risk rules triggered,Model finds this transaction low risk with no strong anomaly indicators (score 0.040),"{""source"": ""transactions_a.csv"", ""channel"": ""POS"", ""tx_type"": ""purchase"", ""currency"": ""USD"", ""amount"": 165.52, ""amount_in_usd"": 165.52}",No action (low risk cleared),Pending review,Awaiting investigator
TXN_678010,2026-09-18 12:10:39 UTC,0.0220,No high-risk rules triggered,Model finds this transaction low risk with no strong anomaly indicators (score 0.022),"{""source"": ""transactions_a.csv"", ""channel"": ""ATM"", ""tx_type"": ""purchase"", ""currency"": ""USD"", ""amount"": 23.7, ""amount_in_usd"": 23.7}",No action (low risk cleared),Pending review,Awaiting investigator
TXN_417904,2026-09-18 12:10:39 UTC,0.0347,No high-risk rules triggered,Model finds this transaction low risk with no strong anomaly indicators (score 0.035),"{""source"": ""transactions_a.csv"", ""channel"": ""Mobile"", ""tx_type"": ""purchase"", ""currency"": ""USD"", ""amount"": 59.6, ""amount_in_usd"": 59.6}",No action (low risk cleared),Pending review,Awaiting investigator
TXN_724186,2026-09-18 12:10:39 UTC,0.1178,Weekend transaction; Online + international (typical fraud vector),"Model finds this transaction low risk due to online and international, weekend timing (score 0.118)","{""source"": ""transactions_a.csv"", ""channel"": ""Online"", ""tx_type"": ""payment"", ""currency"": ""USD"", ""amount"": 290.09, ""amount_in_usd"": 290.09}",No action (low risk cleared),Pending review,Awaiting investigator
TXN_204157,2026-09-18 12:10:39 UTC,0.0218,No high-risk rules triggered,Model finds this transaction low risk with no strong anomaly indicators (score 0.022),"{""source"": ""transactions_a.csv"", ""channel"": ""Online"", ""tx_type"": ""purchase"", ""currency"": ""USD"", ""amount"": 33.84, ""amount_in_usd"": 33.84}",No action (low risk cleared),Pending review,Awaiting investigator
TXN_931331,2026-09-18 12:10:39 UTC,0.0347,No high-risk rules triggered,Model finds this transaction low risk with no strong anomaly indicators (score 0.035),"{""source"": ""transactions_a.csv"", ""channel"": ""Mobile"", ""tx_type"": ""purchase"", ""currency"": ""USD"", ""amount"": 16.39, ""amount_in_usd"": 16.39}",No action (low risk cleared),Pending review,Awaiting investigator
TXN_291874,2026-09-18 12:10:39 UTC,0.0207,No high-risk rules triggered,Model finds this transaction low risk with no strong anomaly indicators (score 0.021),"{""source"": ""transactions_a.csv"", ""channel"": ""POS"", ""tx_type"": ""payment"", ""currency"": ""USD"", ""amount"": 20.86, ""amount_in_usd"": 20.86}",No action (low risk cleared),Pending review,Awaiting investigator
TXN_844722,2026-09-18 12:10:39 UTC,0.0466,No high-risk rules triggered,Model finds this transaction low risk with no strong anomaly indicators (score 0.047),"{""source"": ""transactions_a.csv"", ""channel"": ""Online"", ""tx_type"": ""withdrawal"", ""currency"": ""USD"", ""amount"": 104.02, ""amount_in_usd"": 104.02}",No action (low risk cleared),Pending review,Awaiting investigator
TXN_593056,2026-09-18 12:10:39 UTC,0.0149,Weekend transaction,Model finds this transaction low risk due to weekend timing (score 0.015),"{""source"": ""transactions_a.csv"", ""channel"": ""Mobile"", ""tx_type"": ""purchase"", ""currency"": ""USD"", ""amount"": 48.87, ""amount_in_usd"": 48.87}",No action (low risk cleared),Pending review,Awaiting investigator
TXN_569009,2026-09-18 12:10:39 UTC,0.0169,No high-risk rules triggered,Model finds this transaction low risk with no strong anomaly indicators (score 0.017),"{""source"": ""transactions_a.csv"", ""channel"": ""Branch"", ""tx_type"": ""transfer"", ""currency"": ""USD"", ""amount"": 40.13, ""amount_in_usd"": 40.13}",No action (low risk cleared),Pending review,Awaiting investigator
TXN_455848,2026-09-18 12:10:39 UTC,0.0662,No high-risk rules triggered,Model finds this transaction low risk with no strong anomaly indicators (score 0.066),"{""source"": ""transactions_a.csv"", ""channel"": ""ATM"", ""tx_type"": ""purchase"", ""currency"": ""USD"", ""amount"": 52.96, ""amount_in_usd"": 52.96}",No action (low risk cleared),Pending review,Awaiting investigator
TXN_582217,2026-09-18 12:10:39 UTC,0.0634,No high-risk rules triggered,Model finds this transaction low risk with no strong anomaly indicators (score 0.063),"{""source"": ""transactions_a.csv"", ""channel"": ""Branch"", ""tx_type"": ""transfer"", ""currency"": ""USD"", ""amount"": 5.05, ""amount_in_usd"": 5.05}",No action (low risk cleared),Pending review,Awaiting investigator
TXN_823781,2026-09-18 12:10:39 UTC,0.0180,No high-risk rules triggered,Model finds this transaction low risk with no strong anomaly indicators (score 0.018),"{""source"": ""transactions_a.csv"", ""channel"": ""POS"", ""tx_type"": ""purchase"", ""currency"": ""USD"", ""amount"": 11.41, ""amount_in_usd"": 11.41}",No action (low risk cleared),Pending review,Awaiting investigator
TXN_210063,2026-09-18 12:10:39 UTC,0.0252,No high-risk rules triggered,Model finds this transaction low risk with no strong anomaly indicators (score 0.025),"{""source"": ""transactions_a.csv"", ""channel"": ""Mobile"", ""tx_type"": ""purchase"", ""currency"": ""USD"", ""amount"": 24.38, ""amount_in_usd"": 24.38}",No action (low risk cleared),Pending review,Awaiting investigator
TXN_733249,2026-09-18 12:10:39 UTC,0.0691,No high-risk rules triggered,Model finds this transaction low risk with no strong anomaly indicators (score 0.069),"{""source"": ""transactions_a.csv"", ""channel"": ""Online"", ""tx_type"": ""withdrawal"", ""currency"": ""USD"", ""amount"": 213.28, ""amount_in_usd"": 213.28}",No action (low risk cleared),Pending review,Awaiting investigator
TXN_586063,2026-09-18 12:10:39 UTC,0.0279,Weekend transaction,Model finds this transaction low risk due to weekend timing (score 0.028),"{""source"": ""transactions_a.csv"", ""channel"": ""Online"", ""tx_type"": ""withdrawal"", ""currency"": ""USD"", ""amount"": 21.92, ""amount_in_usd"": 21.92}",No action (low risk cleared),Pending review,Awaiting investigator
TXN_889568,2026-09-18 12:10:39 UTC,0.0461,Online + international (typical fraud vector),Model finds this transaction low risk due to online and international (score 0.046),"{""source"": ""transactions_a.csv"", ""channel"": ""POS"", ""tx_type"": ""withdrawal"", ""currency"": ""USD"", ""amount"": 11.56, ""amount_in_usd"": 11.56}",No action (low risk cleared),Pending review,Awaiting investigator
TXN_617166,2026-09-18 12:10:39 UTC,0.1969,Online + international (typical fraud vector),Model finds this transaction low risk due to online and international (score 0.197),"{""source"": ""transactions_a.csv"", ""channel"": ""ATM"", ""tx_type"": ""purchase"", ""currency"": ""USD"", ""amount"": 106.52, ""amount_in_usd"": 106.52}",No action (low risk cleared),Pending review,Awaiting investigator
TXN_157462,2026-09-18 12:10:39 UTC,0.0633,Weekend transaction,Model finds this transaction low risk due to weekend timing (score 0.063),"{""source"": ""transactions_a.csv"", ""channel"": ""ATM"", ""tx_type"": ""transfer"", ""currency"": ""USD"", ""amount"": 99.97, ""amount_in_usd"": 99.97}",No action (low risk cleared),Pending review,Awaiting investigator
TXN_937874,2026-09-18 12:10:39 UTC,0.0383,No high-risk rules triggered,Model finds this transaction low risk with no strong anomaly indicators (score 0.038),"{""source"": ""transactions_a.csv"", ""channel"": ""ATM"", ""tx_type"": ""payment"", ""currency"": ""USD"", ""amount"": 11.48, ""amount_in_usd"": 11.48}",No action (low risk cleared),Pending review,Awaiting investigator
TXN_537540,2026-09-18 12:10:39 UTC,0.0127,No high-risk rules triggered,Model finds this transaction low risk with no strong anomaly indicators (score 0.013),"{""source"": ""transactions_a.csv"", ""channel"": ""Mobile"", ""tx_type"": ""purchase"", ""currency"": ""USD"", ""amount"": 83.51, ""amount_in_usd"": 83.51}",No action (low risk cleared),Pending review,Awaiting investigator
TXN_557300,2026-09-18 12:10:39 UTC,0.0368,No high-risk rules triggered,Model finds this transaction low risk with no strong anomaly indicators (score 0.037),"{""source"": ""transactions_a.csv"", ""channel"": ""ATM"", ""tx_type"": ""purchase"", ""currency"": ""USD"", ""amount"": 42.26, ""amount_in_usd"": 42.26}",No action (low risk cleared),Pending review,Awaiting investigator
TXN_376480,2026-09-18 12:10:39 UTC,0.0567,No high-risk rules triggered,Model finds this transaction low risk with no strong anomaly indicators (score 0.057),"{""source"": ""transactions_a.csv"", ""channel"": ""ATM"", ""tx_type"": ""transfer"", ""currency"": ""USD"", ""amount"": 11.34, ""amount_in_usd"": 11.34}",No action (low risk cleared),Pending review,Awaiting investigator
TXN_314112,2026-09-18 12:10:39 UTC,0.1283,Weekend transaction,Model finds this transaction low risk due to weekend timing (score 0.128),"{""source"": ""transactions_a.csv"", ""channel"": ""ATM"", ""tx_type"": ""purchase"", ""currency"": ""USD"", ""amount"": 333.72, ""amount_in_usd"": 333.72}",No action (low risk cleared),Pending review,Awaiting investigator
TXN_958161,2026-09-18 12:10:39 UTC,0.0498,No high-risk rules triggered,Model finds this transaction low risk with no strong anomaly indicators (score 0.050),"{""source"": ""transactions_a.csv"", ""channel"": ""Branch"", ""tx_type"": ""withdrawal"", ""currency"": ""USD"", ""amount"": 160.88, ""amount_in_usd"": 160.88}",No action (low risk cleared),Pending review,Awaiting investigator
TXN_543296,2026-09-18 12:10:39 UTC,0.0569,No high-risk rules triggered,Model finds this transaction low risk with no strong anomaly indicators (score 0.057),"{""source"": ""transactions_a.csv"", ""channel"": ""Mobile"", ""tx_type"": ""payment"", ""currency"": ""USD"", ""amount"": 62.94, ""amount_in_usd"": 62.94}",No action (low risk cleared),Pending review,Awaiting investigator
TXN_554004,2026-09-18 12:10:39 UTC,0.0930,No high-risk rules triggered,Model finds this transaction low risk with no strong anomaly indicators (score 0.093),"{""source"": ""transactions_a.csv"", ""channel"": ""ATM"", ""tx_type"": ""transfer"", ""currency"": ""USD"", ""amount"": 72.82, ""amount_in_usd"": 72.82}",No action (low risk cleared),Pending review,Awaiting investigator
TXN_373968,2026-09-18 12:10:39 UTC,0.0408,Weekend transaction,Model finds this transaction low risk due to weekend timing (score 0.041),"{""source"": ""transactions_a.csv"", ""channel"": ""Online"", ""tx_type"": ""transfer"", ""currency"": ""USD"", ""amount"": 98.68, ""amount_in_usd"": 98.68}",No action (low risk cleared),Pending review,Awaiting investigator
TXN_204369,2026-09-18 12:10:39 UTC,0.0292,No high-risk rules triggered,Model finds this transaction low risk with no strong anomaly indicators (score 0.029),"{""source"": ""transactions_a.csv"", ""channel"": ""Online"", ""tx_type"": ""payment"", ""currency"": ""USD"", ""amount"": 93.86, ""amount_in_usd"": 93.86}",No action (low risk cleared),Pending review,Awaiting investigator
TXN_880668,2026-09-18 12:10:39 UTC,0.0430,Weekend transaction,Model finds this transaction low risk due to weekend timing (score 0.043),"{""source"": ""transactions_a.csv"", ""channel"": ""POS"", ""tx_type"": ""purchase"", ""currency"": ""USD"", ""amount"": 37.29, ""amount_in_usd"": 37.29}",No action (low risk cleared),Pending review,Awaiting investigator
TXN_153035,2026-09-18 12:10:39 UTC,0.8969,Weekend transaction; Online + international (typical fraud vector),"Model strongly flags this transaction due to online and international, weekend timing (score 0.897)","{""source"": ""transactions_a.csv"", ""channel"": ""Online"", ""tx_type"": ""withdrawal"", ""currency"": ""USD"", ""amount"": 414.91, ""amount_in_usd"": 414.91}",Flagged for review,Pending review,Awaiting investigator
TXN_810015,2026-09-18 12:10:39 UTC,0.0226,Weekend transaction,Model finds this transaction low risk due to weekend timing (score 0.023),"{""source"": ""transactions_a.csv"", ""channel"": ""POS"", ""tx_type"": ""transfer"", ""currency"": ""USD"", ""amount"": 18.47, ""amount_in_usd"": 18.47}",No action (low risk cleared),Pending review,Awaiting investigator
TXN_916170,2026-09-18 12:10:39 UTC,0.0154,No high-risk rules triggered,Model finds this transaction low risk with no strong anomaly indicators (score 0.015),"{""source"": ""transactions_a.csv"", ""channel"": ""Mobile"", ""tx_type"": ""payment"", ""currency"": ""USD"", ""amount"": 43.16, ""amount_in_usd"": 43.16}",No action (low risk cleared),Pending review,Awaiting investigator
TXN_987713,2026-09-18 12:10:39 UTC,0.0526,Weekend transaction,Model finds this transaction low risk due to weekend timing (score 0.053),"{""source"": ""transactions_a.csv"", ""channel"": ""Online"", ""tx_type"": ""purchase"", ""currency"": ""USD"", ""amount"": 140.9, ""amount_in_usd"": 140.9}",No action (low risk cleared),Pending review,Awaiting investigator
TXN_228647,2026-09-18 12:10:39 UTC,0.0166,No high-risk rules triggered,Model finds this transaction low risk with no strong anomaly indicators (score 0.017),"{""source"": ""transactions_a.csv"", ""channel"": ""Online"", ""tx_type"": ""transfer"", ""currency"": ""USD"", ""amount"": 26.31, ""amount_in_usd"": 26.31}",No action (low risk cleared),Pending review,Awaiting investigator
TXN_847993,2026-09-18 12:10:39 UTC,0.0461,No high-risk rules triggered,Model finds this transaction low risk with no strong anomaly indicators (score 0.046),"{""source"": ""transactions_a.csv"", ""channel"": ""Online"", ""tx_type"": ""withdrawal"", ""currency"": ""USD"", ""amount"": 6.05, ""amount_in_usd"": 6.05}",No action (low risk cleared),Pending review,Awaiting investigator
TXN_470235,2026-09-18 12:10:39 UTC,0.0300,No high-risk rules triggered,Model finds this transaction low risk with no strong anomaly indicators (score 0.030),"{""source"": ""transactions_a.csv"", ""channel"": ""Online"", ""tx_type"": ""payment"", ""currency"": ""USD"", ""amount"": 13.33, ""amount_in_usd"": 13.33}",No action (low risk cleared),Pending review,Awaiting investigator
TXN_471253,2026-09-18 12:10:39 UTC,0.0331,No high-risk rules triggered,Model finds this transaction low risk with no strong anomaly indicators (score 0.033),"{""source"": ""transactions_a.csv"", ""channel"": ""Mobile"", ""tx_type"": ""purchase"", ""currency"": ""USD"", ""amount"": 8.03, ""amount_in_usd"": 8.03}",No action (low risk cleared),Pending review,Awaiting investigator
TXN_638283,2026-09-18 12:10:39 UTC,0.9128,"Unusual hour (night, outside 06:00-22:00); Online + international (typical fraud vector); Late-night online purchase","Model strongly flags this transaction due to occurred at night, online and international (score 0.913)","{""source"": ""transactions_a.csv"", ""channel"": ""Online"", ""tx_type"": ""purchase"", ""currency"": ""USD"", ""amount"": 142.66, ""amount_in_usd"": 142.66}",Flagged for review,Pending review,Awaiting investigator
TXN_898565,2026-09-18 12:10:39 UTC,0.0496,No high-risk rules triggered,Model finds this transaction low risk with no strong anomaly indicators (score 0.050),"{""source"": ""transactions_a.csv"", ""channel"": ""ATM"", ""tx_type"": ""purchase"", ""currency"": ""USD"", ""amount"": 50.93, ""amount_in_usd"": 50.93}",No action (low risk cleared),Pending review,Awaiting investigator
TXN_418287,2026-09-18 12:10:39 UTC,0.0105,No high-risk rules triggered,Model finds this transaction low risk with no strong anomaly indicators (score 0.011),"{""source"": ""transactions_a.csv"", ""channel"": ""Online"", ""tx_type"": ""payment"", ""currency"": ""USD"", ""amount"": 33.31, ""amount_in_usd"": 33.31}",No action (low risk cleared),Pending review,Awaiting investigator
TXN_212425,2026-09-18 12:10:39 UTC,0.0364,No high-risk rules triggered,Model finds this transaction low risk with no strong anomaly indicators (score 0.036),"{""source"": ""transactions_a.csv"", ""channel"": ""POS"", ""tx_type"": ""purchase"", ""currency"": ""USD"", ""amount"": 63.74, ""amount_in_usd"": 63.74}",No action (low risk cleared),Pending review,Awaiting investigator
TXN_391700,2026-09-18 12:10:39 UTC,0.0274,No high-risk rules triggered,Model finds this transaction low risk with no strong anomaly indicators (score 0.027),"{""source"": ""transactions_a.csv"", ""channel"": ""Branch"", ""tx_type"": ""withdrawal"", ""currency"": ""USD"", ""amount"": 38.13, ""amount_in_usd"": 38.13}",No action (low risk cleared),Pending review,Awaiting investigator
TXN_395667,2026-09-18 12:10:39 UTC,0.0406,No high-risk rules triggered,Model finds this transaction low risk with no strong anomaly indicators (score 0.041),"{""source"": ""transactions_a.csv"", ""channel"": ""Online"", ""tx_type"": ""purchase"", ""currency"": ""USD"", ""amount"": 200.67, ""amount_in_usd"": 200.67}",No action (low risk cleared),Pending review,Awaiting investigator
TXN_426121,2026-09-18 12:10:39 UTC,0.0740,Weekend transaction,Model finds this transaction low risk due to weekend timing (score 0.074),"{""source"": ""transactions_a.csv"", ""channel"": ""Mobile"", ""tx_type"": ""withdrawal"", ""currency"": ""USD"", ""amount"": 3.0, ""amount_in_usd"": 3.0}",No action (low risk cleared),Pending review,Awaiting investigator
TXN_863583,2026-09-18 12:10:39 UTC,0.0095,No high-risk rules triggered,Model finds this transaction low risk with no strong anomaly indicators (score 0.009),"{""source"": ""transactions_a.csv"", ""channel"": ""Online"", ""tx_type"": ""payment"", ""currency"": ""USD"", ""amount"": 29.85, ""amount_in_usd"": 29.85}",No action (low risk cleared),Pending review,Awaiting investigator
TXN_573394,2026-09-18 12:10:39 UTC,0.0383,No high-risk rules triggered,Model finds this transaction low risk with no strong anomaly indicators (score 0.038),"{""source"": ""transactions_a.csv"", ""channel"": ""Branch"", ""tx_type"": ""transfer"", ""currency"": ""USD"", ""amount"": 23.59, ""amount_in_usd"": 23.59}",No action (low risk cleared),Pending review,Awaiting investigator
TXN_946361,2026-09-18 12:10:39 UTC,0.0451,Weekend transaction,Model finds this transaction low risk due to weekend timing (score 0.045),"{""source"": ""transactions_a.csv"", ""channel"": ""POS"", ""tx_type"": ""purchase"", ""currency"": ""USD"", ""amount"": 24.36, ""amount_in_usd"": 24.36}",No action (low risk cleared),Pending review,Awaiting investigator
TXN_367320,2026-09-18 12:10:39 UTC,0.0626,Weekend transaction,Model finds this transaction low risk due to weekend timing (score 0.063),"{""source"": ""transactions_a.csv"", ""channel"": ""ATM"", ""tx_type"": ""purchase"", ""currency"": ""USD"", ""amount"": 36.92, ""amount_in_usd"": 36.92}",No action (low risk cleared),Pending review,Awaiting investigator
